Country,Fulfill Via,Vendor INCO Term,Shipment Mode,Scheduled Delivery Date,Delivered to Client Date,Product Group,Sub Classification,Vendor,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Weight_new,Freight_cost_new,Shipping_cost
Vietnam,Direct Drop,EXW,Air,2006-11-14,2006-11-14,ARV,Pediatric,Aurobindo Pharma Limited,Nevirapine,Generic,10mg/ml,Oral suspension,5.488937726156687,6.90975328164481,8.732627099660395,2.1041341542702074,0.7080357930536959,"Aurobindo Unit III, India",Yes,5.886104031450156,8.417041309465796,0.7419373447293773,Normal Measurement,Normal Measurement,17.89160575385557
Côte d'Ivoire,Direct Drop,FCA,Air,2006-08-27,2006-08-27,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit",Determine,150/300/200mg,Test kit,4.624972813284271,6.218600119691729,10.596684731846114,4.406719247264253,1.0296194171811581,ABBVIE GmbH & Co.KG Wiesbaden,Yes,5.153291594497779,7.4120274758782845,0.7419373447293773,Normal Measurement,Normal Measurement,18.750649552453776
Vietnam,Direct Drop,EXW,Air,2006-09-01,2006-09-01,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Lamivudine,Generic,150mg,Tablet,4.127134385045092,10.371050706242503,11.754794985761167,1.7900914121273581,0.7275486072772777,"Ranbaxy, Paonta Shahib, India",Yes,7.526717561352706,9.680910090962882,0.7419373447293773,Normal Measurement,Normal Measurement,22.177642421453424
Vietnam,Direct Drop,EXW,Air,2006-08-11,2006-08-11,ARV,Adult,Aurobindo Pharma Limited,Stavudine,Generic,30mg,Capsule,4.127134385045092,10.545394068902477,11.708508695747367,1.6486586255873816,0.7178397931503168,"Aurobindo Unit III, India",Yes,8.934850340289763,10.724413863134917,0.7419373447293773,Normal Measurement,Normal Measurement,23.174859903611658
Nigeria,Direct Drop,EXW,Air,2006-09-28,2006-09-28,ARV,Pediatric,Aurobindo Pharma Limited,Zidovudine,Generic,10mg/ml,Oral solution,5.488937726156687,6.035481432524756,7.708680051715514,1.9947003132247452,0.7030975114131134,"Aurobindo Unit III, India",Yes,6.226536669287466,8.686500428132508,0.7419373447293773,Normal Measurement,Normal Measurement,17.1371178245774
Zambia,Direct Drop,DDU,Air,2007-01-08,2007-01-08,ARV,Pediatric,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Efavirenz,Stocrin/Sustiva,200mg,Capsule,4.5217885770490405,4.919980925828125,8.383890344101816,3.5380565643793527,0.8586616190375187,MSD South Granville Australia,Yes,5.799092654460526,9.315171881471608,0.7419373447293773,Normal Measurement,Freight Included in Commodity Cost,18.4409995703028
Tanzania,Direct Drop,EXW,Air,2006-11-24,2006-11-24,ARV,Adult,Aurobindo Pharma Limited,Nevirapine,Generic,200mg,Tablet,4.127134385045092,9.721305985943088,11.015946038650979,1.7316555451583497,0.7227059828014898,"Aurobindo Unit III, India",Yes,7.299797366758161,8.734626067821464,0.7419373447293773,Normal Measurement,Normal Measurement,20.49250945120182
Nigeria,Direct Drop,EXW,Air,2006-12-07,2006-12-07,ARV,Adult,Aurobindo Pharma Limited,Stavudine,Generic,30mg,Capsule,4.127134385045092,5.616771097666572,6.281051054970906,1.3737155789130306,0.7080357930536959,"Aurobindo Unit III, India",No,8.139277481362894,9.315171881471608,0.7419373447293773,See ASN/DN Tag,See ASN/DN Tag,16.33816028117189
Zambia,Direct Drop,CIP,Air,2007-01-30,2007-01-30,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,4.804021044733257,7.938088726896952,11.653400196728928,3.763522997109702,0.85015092936961,ABBVIE (Abbott) St. P'burg USA,Yes,6.4692503167957724,9.315171881471608,0.7419373447293773,Normal Measurement,Freight Included in Commodity Cost,21.710509422929913
Zambia,Direct Drop,CIP,Air,2007-02-16,2007-02-16,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,4.804021044733257,7.938088726896952,11.653400196728928,3.763522997109702,0.85015092936961,ABBVIE Ludwigshafen Germany,Yes,6.4692503167957724,9.315171881471608,0.7419373447293773,Normal Measurement,Freight Included in Commodity Cost,21.710509422929913
